Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
orange,Tripura,1.445,261.92,0.744,16.583,378.47,1.075,23.962,19.15
grapes,Rajasthan,1.267,171.63,0.652,17.323,217.46,0.826,21.948,21.15
mungbean,Bihar,2.55,41.12,0.337,0.694,104.86,0.859,1.77,33.86
kidneybeans,Andhra Pradesh,0.642,40.2,0.292,2.01,25.81,0.187,1.29,23.95
grapes,Uttar Pradesh,2.255,287.27,0.881,20.141,647.79,1.987,45.418,23.62
rice,Chhattisgarh,0.611,117.64,0.525,2.79,71.88,0.321,1.705,23.46
rice,Chandigarh,4.916,150.87,0.334,3.67,741.68,1.642,18.042,31.56
papaya,Chandigarh,1.195,214.96,0.556,24.312,256.88,0.664,29.053,29.86
mothbeans,Madhya Pradesh,0.831,38.55,0.128,0.865,32.04,0.106,0.719,25.54
blackgram,Gujarat,0.397,39.39,0.335,1.249,15.64,0.133,0.496,33.38
rice,Kerala,0.469,112.2,0.609,2.82,52.62,0.286,1.323,24.32
mungbean,Jharkhand,2.434,37.9,0.148,0.589,92.25,0.36,1.434,30.2
kidneybeans,Telangana,2.236,51.17,0.283,1.283,114.42,0.633,2.869,20.64
blackgram,Haryana,1.101,44.15,0.38,0.916,48.61,0.418,1.009,27.29
mungbean,Karnataka,0.337,42.74,0.384,1.256,14.4,0.129,0.423,31.86
rice,Uttar Pradesh,5.34,130.31,0.418,2.492,695.86,2.232,13.307,24.74
lentil,Delhi,0.671,31.81,0.269,1.684,21.34,0.18,1.13,14.06
banana,Jammu and Kashmir,1.173,475.54,0.811,56.804,557.81,0.951,66.631,26.91
kidneybeans,Arunachal Pradesh,3.377,53.16,0.231,1.585,179.52,0.78,5.353,28.87
rice,Meghalaya,1.193,113.56,0.668,4.32,135.48,0.797,5.154,21.09
papaya,Goa,6.203,228.65,0.812,29.241,1418.32,5.037,181.382,31.27
maize,Ladakh,1.512,102.39,0.274,2.604,154.81,0.414,3.937,28.49
kidneybeans,Punjab,0.642,52.78,0.179,0.811,33.88,0.115,0.521,18.19
banana,Nagaland,1.058,297.57,1.015,29.074,314.83,1.074,30.76,20.29
chickpea,Odisha,3.511,44.15,0.385,1.844,155.01,1.352,6.474,19.52
chickpea,Uttarakhand,0.612,32.4,0.26,1.416,19.83,0.159,0.867,21.19
mango,Jharkhand,1.036,231.5,0.905,17.278,239.83,0.938,17.9,25.5
muskmelon,Uttar Pradesh,1.58,79.32,0.752,14.872,125.33,1.188,23.498,22.83
watermelon,Haryana,1.651,149.08,0.819,18.346,246.13,1.352,30.289,29.26
blackgram,Andhra Pradesh,1.076,30.53,0.183,1.086,32.85,0.197,1.169,26.05
banana,Tripura,2.974,449.76,1.238,61.149,1337.59,3.682,181.857,29.71
jute,Madhya Pradesh,1.257,108.21,0.426,3.73,136.02,0.535,4.689,28.89
coffee,Delhi,0.36,204.48,0.762,0.551,73.61,0.274,0.198,20.56
coconut,Manipur,1.378,624.88,1.229,6.607,861.08,1.694,9.104,28.41
cotton,Jharkhand,2.184,139.99,2.32,1.055,305.74,5.067,2.304,27.3
mothbeans,Assam,2.154,24.17,0.313,0.674,52.06,0.674,1.452,30.88
chickpea,Delhi,0.749,24.09,0.341,1.081,18.04,0.255,0.81,23.19
mungbean,Andaman and Nicobar Islands,0.36,36.3,0.289,1.298,13.07,0.104,0.467,30.3
papaya,Haryana,0.675,166.12,1.072,22.866,112.13,0.724,15.435,31.33
mothbeans,Tamil Nadu,1.97,20.94,0.118,0.596,41.25,0.232,1.174,24.19
cotton,Andaman and Nicobar Islands,1.33,151.84,1.895,0.958,201.95,2.52,1.274,25.86
mungbean,Rajasthan,0.681,33.45,0.106,0.901,22.78,0.072,0.614,33.6
muskmelon,Madhya Pradesh,1.094,93.96,0.776,13.766,102.79,0.849,15.06,23.42
banana,Odisha,0.484,605.51,1.208,48.897,293.07,0.585,23.666,27.57
apple,Nagaland,0.795,144.0,0.914,25.256,114.48,0.727,20.079,13.76
rice,Jharkhand,3.142,113.7,0.398,3.511,357.25,1.251,11.032,28.06
muskmelon,Meghalaya,1.604,144.36,0.547,12.24,231.55,0.877,19.633,23.19
rice,Himachal Pradesh,0.645,150.32,0.351,4.585,96.96,0.226,2.957,25.59
mungbean,Puducherry,1.443,52.88,0.363,0.416,76.31,0.524,0.6,33.1
watermelon,Rajasthan,3.636,178.87,0.313,26.074,650.37,1.138,94.805,20.92
cotton,Jharkhand,2.811,155.13,3.06,2.209,436.07,8.602,6.209,26.65
chickpea,Mizoram,3.31,48.51,0.376,1.499,160.57,1.245,4.962,13.01
watermelon,Andaman and Nicobar Islands,1.236,206.61,0.328,18.344,255.37,0.405,22.673,24.15
kidneybeans,Puducherry,0.944,48.34,0.402,1.331,45.63,0.379,1.256,18.16
watermelon,Delhi,1.156,131.87,0.53,11.609,152.44,0.613,13.42,31.1
coconut,Andhra Pradesh,2.237,289.2,1.158,10.477,646.94,2.59,23.437,30.72
lentil,Rajasthan,2.634,28.23,0.186,0.673,74.36,0.49,1.773,24.84
grapes,Karnataka,0.535,204.15,0.843,15.592,109.22,0.451,8.342,24.85
orange,Ladakh,0.412,229.38,1.025,16.755,94.5,0.422,6.903,26.98
maize,Mizoram,1.329,90.76,0.539,2.327,120.62,0.716,3.093,23.95
rice,Dadra and Nagar Haveli and Daman and Diu,1.01,104.76,0.483,3.39,105.81,0.488,3.424,24.09
maize,Tripura,1.648,85.59,0.609,2.574,141.05,1.004,4.242,29.47
chickpea,Tripura,5.894,36.1,0.204,0.949,212.77,1.202,5.593,17.17
rice,Andhra Pradesh,2.014,111.97,0.494,3.511,225.51,0.995,7.071,29.63
mothbeans,Maharashtra,1.969,44.19,0.361,0.756,87.01,0.711,1.489,26.39
rice,Maharashtra,0.901,109.57,0.561,3.282,98.72,0.505,2.957,24.53
watermelon,Andaman and Nicobar Islands,1.687,113.14,0.932,30.217,190.87,1.572,50.976,22.94
coconut,Puducherry,0.678,357.74,0.856,11.793,242.55,0.58,7.996,26.5
maize,Chandigarh,1.198,97.19,0.564,4.528,116.43,0.676,5.425,22.79
maize,West Bengal,2.271,113.98,0.718,3.202,258.85,1.631,7.272,21.85
lentil,Punjab,2.295,26.73,0.32,0.917,61.35,0.734,2.105,22.32
blackgram,Arunachal Pradesh,1.867,21.18,0.275,0.454,39.54,0.513,0.848,33.08
maize,Goa,0.8,69.78,0.607,2.667,55.82,0.486,2.134,27.47
rice,Chhattisgarh,2.963,146.04,0.724,2.614,432.72,2.145,7.745,28.89
jute,Gujarat,2.552,163.85,0.819,2.002,418.15,2.09,5.109,25.57
coconut,Sikkim,0.358,561.96,1.011,6.26,201.18,0.362,2.241,27.62
mothbeans,Kerala,2.688,39.61,0.148,0.369,106.47,0.398,0.992,26.2
coconut,Karnataka,0.403,559.34,0.934,6.913,225.41,0.376,2.786,28.41
pomegranate,Kerala,1.354,158.77,0.654,20.847,214.97,0.886,28.227,20.03
maize,Madhya Pradesh,2.588,97.1,0.627,3.081,251.29,1.623,7.974,27.69
chickpea,Sikkim,3.232,31.13,0.359,0.894,100.61,1.16,2.889,20.9
watermelon,Haryana,0.809,200.93,0.764,12.479,162.55,0.618,10.096,24.28
pigeonpeas,Kerala,1.093,33.73,0.249,0.747,36.87,0.272,0.816,22.32
watermelon,Manipur,0.666,82.3,0.811,13.317,54.81,0.54,8.869,27.71
lentil,Ladakh,3.562,44.08,0.304,0.737,157.01,1.083,2.625,23.41
muskmelon,Haryana,4.888,111.13,0.327,22.163,543.2,1.598,108.333,27.33
rice,Arunachal Pradesh,1.447,128.79,0.628,2.9,186.36,0.909,4.196,29.04
coffee,Uttar Pradesh,0.761,107.06,0.612,1.392,81.47,0.466,1.059,22.01
lentil,Himachal Pradesh,1.716,32.98,0.276,1.601,56.59,0.474,2.747,15.19
blackgram,Mizoram,0.886,25.91,0.142,1.181,22.96,0.126,1.046,26.64
muskmelon,Andaman and Nicobar Islands,2.288,168.14,0.476,8.714,384.7,1.089,19.938,21.34
maize,Chhattisgarh,0.927,78.44,0.472,3.802,72.71,0.438,3.524,24.62
pigeonpeas,Manipur,1.054,33.87,0.399,1.162,35.7,0.421,1.225,30.55
rice,Goa,1.696,105.14,0.357,2.645,178.32,0.605,4.486,23.42
mothbeans,Gujarat,2.443,35.44,0.163,0.687,86.58,0.398,1.678,29.25
muskmelon,Chhattisgarh,3.763,98.76,0.628,13.295,371.63,2.363,50.029,21.94
muskmelon,Uttar Pradesh,3.878,88.56,0.657,23.169,343.44,2.548,89.849,29.48
grapes,West Bengal,0.35,314.96,0.603,18.551,110.24,0.211,6.493,20.92
pomegranate,Dadra and Nagar Haveli and Daman and Diu,2.035,202.28,1.415,18.933,411.64,2.88,38.529,27.76
watermelon,Telangana,3.693,150.17,0.413,26.292,554.58,1.525,97.096,23.6
jute,Himachal Pradesh,0.399,150.85,0.573,3.24,60.19,0.229,1.293,25.74
cotton,Dadra and Nagar Haveli and Daman and Diu,0.548,140.6,1.956,1.408,77.05,1.072,0.772,26.99
cotton,West Bengal,0.347,138.27,2.107,1.904,47.98,0.731,0.661,22.69
blackgram,Nagaland,1.133,37.29,0.179,1.367,42.25,0.203,1.549,32.34
pomegranate,Arunachal Pradesh,1.341,207.31,1.286,15.595,278.0,1.725,20.913,26.04
kidneybeans,Andhra Pradesh,1.816,44.9,0.358,1.709,81.54,0.65,3.104,20.04
chickpea,Kerala,1.411,30.29,0.302,1.565,42.74,0.426,2.208,23.73
papaya,Chhattisgarh,0.786,217.21,1.02,20.681,170.73,0.802,16.255,24.33
chickpea,Chandigarh,1.187,46.79,0.395,1.186,55.54,0.469,1.408,18.73
watermelon,Nagaland,4.08,132.47,0.69,11.09,540.48,2.815,45.247,20.15
muskmelon,Andaman and Nicobar Islands,2.429,144.73,0.495,24.067,351.55,1.202,58.459,21.54
maize,Madhya Pradesh,1.775,107.88,0.286,4.169,191.49,0.508,7.4,28.5
coffee,Madhya Pradesh,0.398,132.07,0.798,1.228,52.56,0.318,0.489,20.28
mungbean,Tripura,1.349,42.83,0.149,0.615,57.78,0.201,0.83,29.36
chickpea,Odisha,3.392,24.33,0.262,0.94,82.53,0.889,3.188,17.03
papaya,Gujarat,3.83,135.6,0.752,37.295,519.35,2.88,142.84,26.73
coffee,Kerala,1.142,158.89,0.903,1.224,181.45,1.031,1.398,20.64
rice,Telangana,0.86,140.3,0.386,3.866,120.66,0.332,3.325,25.51
muskmelon,Chhattisgarh,0.387,96.08,0.486,8.737,37.18,0.188,3.381,23.18
rice,Goa,0.842,127.64,0.681,4.393,107.47,0.573,3.699,30.1
jute,Punjab,1.463,85.51,0.722,4.111,125.1,1.056,6.014,28.58
cotton,Nagaland,0.404,163.9,1.601,2.023,66.22,0.647,0.817,23.18
pigeonpeas,Manipur,1.053,45.26,0.372,1.571,47.66,0.392,1.654,21.79
blackgram,Maharashtra,0.652,22.2,0.381,1.407,14.47,0.248,0.917,28.36
muskmelon,West Bengal,0.372,179.34,0.315,10.595,66.71,0.117,3.941,23.45
coconut,Punjab,1.454,552.78,0.63,7.701,803.74,0.916,11.197,27.61
rice,Andaman and Nicobar Islands,0.604,149.62,0.481,3.305,90.37,0.291,1.996,21.71
orange,West Bengal,1.827,216.17,1.055,24.887,394.94,1.927,45.469,28.57
mango,Andhra Pradesh,0.33,201.27,0.486,14.376,66.42,0.16,4.744,34.18
mango,Kerala,1.58,321.4,0.562,11.158,507.81,0.888,17.63,33.34
muskmelon,Manipur,0.627,155.38,0.484,13.079,97.42,0.303,8.201,24.48
rice,Maharashtra,1.411,130.7,0.528,3.295,184.42,0.745,4.649,25.55
apple,Andaman and Nicobar Islands,1.949,296.74,0.681,25.163,578.35,1.327,49.043,12.42
mungbean,Tripura,0.457,21.64,0.336,1.031,9.89,0.154,0.471,29.48
papaya,Manipur,2.61,269.01,0.918,39.623,702.12,2.396,103.416,24.28
banana,Delhi,2.476,427.67,0.913,35.347,1058.91,2.261,87.519,28.33
blackgram,Mizoram,2.056,35.08,0.264,1.53,72.12,0.543,3.146,26.44
muskmelon,Manipur,0.431,184.55,0.365,8.549,79.54,0.157,3.685,28.81
apple,Madhya Pradesh,0.531,146.24,0.839,26.614,77.65,0.446,14.132,16.32
coconut,Gujarat,1.549,285.17,0.544,6.464,441.73,0.843,10.013,29.15
papaya,Bihar,0.3,255.22,1.002,34.081,76.57,0.301,10.224,22.71
pigeonpeas,West Bengal,0.571,59.79,0.316,1.508,34.14,0.18,0.861,26.71
jute,Uttarakhand,2.01,101.45,0.576,3.939,203.91,1.158,7.917,22.2
apple,Sikkim,3.404,266.85,0.843,26.743,908.36,2.87,91.033,18.4
apple,Andhra Pradesh,2.719,277.63,0.625,23.383,754.88,1.699,63.578,10.3
maize,Delhi,1.131,67.62,0.483,2.574,76.48,0.546,2.911,28.02
mungbean,Kerala,1.631,37.61,0.342,0.731,61.34,0.558,1.192,29.66
apple,Telangana,4.193,201.12,0.597,16.078,843.3,2.503,67.415,16.24
lentil,Bihar,0.565,40.84,0.252,1.371,23.07,0.142,0.775,13.51
grapes,Ladakh,1.227,175.67,0.972,18.069,215.55,1.193,22.171,23.09
rice,Chhattisgarh,0.439,150.16,0.531,4.183,65.92,0.233,1.836,29.66
watermelon,Chandigarh,1.062,157.17,0.723,26.35,166.91,0.768,27.984,26.88
lentil,Jammu and Kashmir,1.971,26.88,0.131,1.254,52.98,0.258,2.472,20.96
apple,Himachal Pradesh,5.888,274.69,0.801,27.736,1617.37,4.716,163.31,22.77
grapes,Karnataka,1.477,217.63,0.866,12.528,321.44,1.279,18.504,18.42
chickpea,Bihar,0.377,50.98,0.311,0.81,19.22,0.117,0.305,11.97
maize,Manipur,0.635,70.63,0.54,2.278,44.85,0.343,1.447,18.62
banana,Madhya Pradesh,1.873,364.15,0.729,43.283,682.05,1.365,81.069,24.89
kidneybeans,Delhi,1.395,35.38,0.352,0.943,49.36,0.491,1.315,28.68
orange,Andhra Pradesh,2.43,209.7,0.555,15.021,509.57,1.349,36.501,26.96
mango,Kerala,1.095,230.09,0.954,14.343,251.95,1.045,15.706,29.08
coffee,Madhya Pradesh,2.957,155.74,0.483,0.684,460.52,1.428,2.023,18.17
papaya,Karnataka,1.905,259.29,0.589,21.87,493.95,1.122,41.662,31.11
grapes,Punjab,1.32,139.03,1.111,15.643,183.52,1.467,20.649,29.47
grapes,Manipur,1.651,151.9,1.018,15.141,250.79,1.681,24.998,26.45
coconut,Tripura,0.861,401.83,0.786,10.258,345.98,0.677,8.832,25.71
cotton,Meghalaya,1.317,172.18,1.638,1.618,226.76,2.157,2.131,28.95
rice,Gujarat,3.146,116.69,0.502,3.902,367.11,1.579,12.276,23.3
pigeonpeas,Goa,0.938,40.95,0.224,1.413,38.41,0.21,1.325,29.63
blackgram,Haryana,1.178,30.46,0.274,0.802,35.88,0.323,0.945,30.05
chickpea,West Bengal,0.7,47.71,0.206,1.396,33.4,0.144,0.977,14.03
lentil,Madhya Pradesh,1.73,40.76,0.117,0.939,70.51,0.202,1.624,21.85
kidneybeans,Punjab,2.035,28.73,0.283,1.756,58.47,0.576,3.573,25.67
apple,Puducherry,3.152,92.34,0.897,26.483,291.06,2.827,83.474,16.48
pomegranate,Manipur,4.311,284.61,1.362,27.569,1226.95,5.872,118.85,25.61
pomegranate,Rajasthan,2.283,263.43,0.743,17.172,601.41,1.696,39.204,22.19
jute,Tripura,1.322,86.13,0.388,2.133,113.86,0.513,2.82,26.78
muskmelon,Andhra Pradesh,3.867,148.84,0.478,24.072,575.56,1.848,93.086,31.55
pigeonpeas,Telangana,1.318,55.36,0.307,1.371,72.96,0.405,1.807,20.3
jute,Maharashtra,0.836,148.76,0.629,2.05,124.36,0.526,1.714,25.68
jute,Rajasthan,0.886,141.92,0.927,1.991,125.74,0.821,1.764,24.87
mango,Telangana,1.776,226.82,0.907,15.411,402.83,1.611,27.37,33.0
pomegranate,Uttarakhand,2.58,258.82,1.282,22.356,667.76,3.308,57.678,25.83
mothbeans,Sikkim,3.475,46.87,0.158,0.899,162.87,0.549,3.124,26.28
blackgram,Andaman and Nicobar Islands,0.994,39.9,0.401,0.512,39.66,0.399,0.509,26.92
rice,Bihar,1.735,170.55,0.754,4.247,295.9,1.308,7.369,26.88
lentil,Arunachal Pradesh,1.132,45.12,0.3,1.457,51.08,0.34,1.649,12.1
blackgram,Madhya Pradesh,3.192,36.87,0.358,1.281,117.69,1.143,4.089,24.79
mothbeans,Uttar Pradesh,1.375,42.65,0.397,1.033,58.64,0.546,1.42,24.26
grapes,Uttarakhand,0.622,296.16,1.172,16.296,184.21,0.729,10.136,17.77
watermelon,Ladakh,2.289,156.44,0.374,24.501,358.09,0.856,56.083,23.88
mungbean,Maharashtra,1.072,21.52,0.134,0.792,23.07,0.144,0.849,31.64
cotton,Puducherry,0.768,137.27,1.545,1.983,105.42,1.187,1.523,22.71
papaya,Haryana,2.598,262.03,0.898,33.117,680.75,2.333,86.038,25.53
watermelon,Andaman and Nicobar Islands,1.912,211.72,0.888,29.42,404.81,1.698,56.251,28.62
mango,Nagaland,0.333,263.15,0.556,18.568,87.63,0.185,6.183,31.34
banana,Gujarat,1.166,223.6,1.183,42.598,260.72,1.379,49.669,34.02
kidneybeans,West Bengal,1.799,30.26,0.167,1.324,54.44,0.3,2.382,24.25
mungbean,Meghalaya,3.473,47.42,0.182,1.151,164.69,0.632,3.997,23.76
muskmelon,Arunachal Pradesh,2.287,177.93,0.275,18.501,406.93,0.629,42.312,24.4
coconut,Nagaland,4.683,420.4,0.962,12.229,1968.73,4.505,57.268,27.95
kidneybeans,Uttarakhand,1.385,44.75,0.273,1.68,61.98,0.378,2.327,28.97
pomegranate,Sikkim,2.045,192.74,1.367,31.004,394.15,2.796,63.403,17.12
blackgram,Manipur,0.633,34.71,0.226,0.923,21.97,0.143,0.584,31.94
blackgram,West Bengal,1.398,51.32,0.286,1.279,71.75,0.4,1.788,25.81
watermelon,Delhi,2.657,84.73,0.811,22.311,225.13,2.155,59.28,21.3
banana,Assam,2.042,525.34,1.543,22.132,1072.74,3.151,45.194,20.35
pomegranate,Jammu and Kashmir,1.473,315.17,1.198,21.653,464.25,1.765,31.895,22.16
coffee,Maharashtra,4.09,178.44,0.42,1.351,729.82,1.718,5.526,18.71
papaya,Karnataka,1.626,222.55,0.798,31.21,361.87,1.298,50.747,22.73
jute,Manipur,0.899,108.26,0.624,3.22,97.33,0.561,2.895,22.5
coconut,Telangana,0.557,595.23,0.972,8.767,331.54,0.541,4.883,31.99
orange,Sikkim,0.532,137.03,0.554,12.963,72.9,0.295,6.896,25.68
coconut,Odisha,0.433,590.18,0.754,9.333,255.55,0.326,4.041,31.23
watermelon,Tamil Nadu,0.613,163.66,0.422,25.891,100.32,0.259,15.871,29.44
apple,Bihar,0.765,188.14,0.575,9.706,143.93,0.44,7.425,23.42
papaya,Jharkhand,2.601,281.26,0.831,26.404,731.56,2.161,68.677,25.4
muskmelon,Puducherry,2.366,120.3,0.664,17.639,284.63,1.571,41.734,28.19
muskmelon,Karnataka,0.305,79.73,0.391,12.815,24.32,0.119,3.909,25.05
cotton,Mizoram,0.506,141.43,1.949,1.818,71.56,0.986,0.92,20.62
grapes,Sikkim,2.586,248.22,1.004,11.139,641.9,2.596,28.805,17.68
jute,Meghalaya,0.909,161.65,0.545,3.076,146.94,0.495,2.796,26.25
jute,Ladakh,0.371,115.46,0.45,4.002,42.84,0.167,1.485,28.52
grapes,Jharkhand,1.839,287.63,0.752,17.592,528.95,1.383,32.352,18.81
lentil,Assam,1.716,37.73,0.197,0.972,64.74,0.338,1.668,21.2
rice,Arunachal Pradesh,0.438,97.56,0.356,3.931,42.73,0.156,1.722,21.28
mango,Ladakh,1.918,290.09,0.746,19.414,556.39,1.431,37.236,30.86
lentil,Chandigarh,1.956,38.77,0.325,1.443,75.83,0.636,2.823,23.56
apple,Karnataka,1.659,145.12,0.751,10.395,240.75,1.246,17.245,16.43
mungbean,Arunachal Pradesh,1.457,38.36,0.115,0.413,55.89,0.168,0.602,22.17
coconut,Nagaland,4.222,541.74,0.707,8.475,2287.23,2.985,35.781,28.43
rice,Nagaland,1.108,146.18,0.367,3.362,161.97,0.407,3.725,24.94
maize,Punjab,2.047,69.82,0.506,3.631,142.92,1.036,7.433,25.45
mango,Madhya Pradesh,1.771,323.34,0.925,13.684,572.64,1.638,24.234,26.64
pomegranate,Arunachal Pradesh,0.649,152.41,1.007,12.709,98.91,0.654,8.248,30.29
cotton,Uttarakhand,0.749,124.63,2.11,1.947,93.35,1.58,1.458,23.09
lentil,Uttarakhand,2.337,34.61,0.126,1.082,80.88,0.294,2.529,10.84
muskmelon,Chandigarh,0.444,158.97,0.474,9.655,70.58,0.21,4.287,20.65
orange,Himachal Pradesh,2.642,241.62,0.549,31.391,638.36,1.45,82.935,29.54
grapes,Assam,1.659,248.14,0.621,16.722,411.66,1.03,27.742,28.35
mothbeans,Madhya Pradesh,1.171,30.23,0.123,0.448,35.4,0.144,0.525,26.23
coffee,Uttarakhand,1.997,180.97,0.416,1.083,361.4,0.831,2.163,23.06
kidneybeans,Himachal Pradesh,3.047,36.89,0.408,0.799,112.4,1.243,2.435,19.11
kidneybeans,Kerala,1.322,55.4,0.432,2.068,73.24,0.571,2.734,22.35
banana,Andhra Pradesh,1.151,378.61,1.309,26.848,435.78,1.507,30.902,29.36
watermelon,Tamil Nadu,5.563,144.18,0.391,14.833,802.07,2.175,82.516,29.4
lentil,Meghalaya,1.96,37.94,0.118,0.847,74.36,0.231,1.66,17.03
lentil,Meghalaya,2.077,31.65,0.197,0.805,65.74,0.409,1.672,15.44
coffee,Uttar Pradesh,4.081,159.2,0.86,0.658,649.7,3.51,2.685,23.38
pigeonpeas,Telangana,4.168,68.41,0.28,1.647,285.13,1.167,6.865,28.11
papaya,Karnataka,0.609,204.58,1.176,26.88,124.59,0.716,16.37,22.57
papaya,Uttar Pradesh,1.84,266.98,0.896,31.41,491.24,1.649,57.794,23.83
orange,Uttar Pradesh,2.773,282.1,1.054,24.693,782.26,2.923,68.474,23.26
mungbean,Arunachal Pradesh,6.276,38.24,0.165,1.167,239.99,1.036,7.324,22.84
maize,Chandigarh,2.189,79.51,0.244,3.786,174.05,0.534,8.288,24.3
muskmelon,Telangana,1.279,169.69,0.431,21.341,217.03,0.551,27.295,21.76
mango,Andhra Pradesh,0.755,243.96,1.097,17.879,184.19,0.828,13.499,32.5
rice,Chandigarh,3.201,141.48,0.348,3.222,452.88,1.114,10.314,25.21
blackgram,Jammu and Kashmir,0.768,46.73,0.096,1.24,35.89,0.074,0.952,27.37
rice,West Bengal,1.004,95.33,0.376,3.995,95.71,0.378,4.011,22.83
maize,Nagaland,3.454,88.79,0.372,3.812,306.68,1.285,13.167,25.56
grapes,Jammu and Kashmir,1.808,198.62,1.052,11.653,359.1,1.902,21.069,26.64
lentil,Tripura,1.826,26.05,0.214,1.14,47.57,0.391,2.082,15.88
jute,Odisha,0.957,84.27,0.957,3.505,80.65,0.916,3.354,24.6
cotton,Tripura,0.504,151.25,2.057,1.072,76.23,1.037,0.54,28.55
coffee,Jharkhand,1.049,193.13,0.859,0.785,202.59,0.901,0.823,20.78
banana,Gujarat,0.579,513.71,1.06,45.861,297.44,0.614,26.554,34.49
mango,Manipur,1.213,309.79,1.245,10.877,375.78,1.51,13.194,31.35
watermelon,Telangana,2.276,174.11,0.43,27.842,396.27,0.979,63.368,28.79
orange,Andhra Pradesh,0.849,278.15,1.161,18.481,236.15,0.986,15.69,20.19
watermelon,Himachal Pradesh,0.413,168.66,0.336,23.067,69.66,0.139,9.527,31.69
mothbeans,Himachal Pradesh,0.854,26.06,0.202,0.967,22.26,0.173,0.826,32.12
pigeonpeas,Jammu and Kashmir,2.981,62.41,0.177,0.867,186.04,0.528,2.585,26.58
cotton,Jammu and Kashmir,2.092,117.96,1.173,2.176,246.77,2.454,4.552,25.28
cotton,Assam,0.928,124.26,2.475,1.522,115.31,2.297,1.412,22.33
apple,Tamil Nadu,0.371,208.55,1.094,13.689,77.37,0.406,5.079,13.65
kidneybeans,Chhattisgarh,2.279,38.5,0.369,1.368,87.74,0.841,3.118,21.99
cotton,Meghalaya,0.668,142.62,1.287,1.071,95.27,0.86,0.715,27.41
mango,Goa,2.904,254.74,0.84,13.845,739.76,2.439,40.206,24.83
rice,Jammu and Kashmir,0.418,111.03,0.433,3.177,46.41,0.181,1.328,30.13
apple,Jammu and Kashmir,1.144,227.39,0.74,29.509,260.13,0.847,33.758,24.05
grapes,Rajasthan,2.517,124.42,1.064,13.424,313.17,2.678,33.788,16.98
apple,Meghalaya,0.655,230.18,1.075,20.707,150.77,0.704,13.563,23.76
blackgram,Haryana,1.332,23.08,0.207,0.993,30.74,0.276,1.323,28.04
pomegranate,Tamil Nadu,0.302,221.37,1.579,27.522,66.85,0.477,8.312,32.75
papaya,Sikkim,0.547,251.48,1.143,34.606,137.56,0.625,18.929,26.89
maize,Uttar Pradesh,0.473,76.36,0.322,3.215,36.12,0.152,1.521,26.96
coconut,Sikkim,0.317,538.16,0.79,8.676,170.6,0.25,2.75,25.42
mango,Telangana,1.186,261.41,0.574,13.57,310.03,0.681,16.094,25.53
apple,Delhi,3.271,167.9,0.843,13.388,549.2,2.757,43.792,19.47
grapes,Manipur,0.597,247.53,0.653,18.961,147.78,0.39,11.32,19.94
orange,Andaman and Nicobar Islands,2.099,133.13,0.884,13.259,279.44,1.856,27.831,24.88
pomegranate,Mizoram,1.289,209.25,0.939,23.186,269.72,1.21,29.887,34.79
pigeonpeas,Bihar,0.311,31.23,0.365,0.916,9.71,0.114,0.285,21.36
pomegranate,Madhya Pradesh,0.475,205.11,0.586,22.844,97.43,0.278,10.851,33.69
banana,Arunachal Pradesh,1.315,479.14,0.799,56.056,630.07,1.051,73.714,28.63
banana,Madhya Pradesh,0.309,364.88,0.727,50.208,112.75,0.225,15.514,30.93
mothbeans,Dadra and Nagar Haveli and Daman and Diu,2.381,27.85,0.355,0.628,66.31,0.845,1.495,30.76
blackgram,Telangana,2.964,37.94,0.276,0.426,112.45,0.818,1.263,32.51
mungbean,Tripura,1.937,27.39,0.334,1.019,53.05,0.647,1.974,28.3
chickpea,Jammu and Kashmir,1.043,42.82,0.258,0.883,44.66,0.269,0.921,12.93
blackgram,Madhya Pradesh,2.363,26.48,0.329,1.003,62.57,0.777,2.37,30.11
coffee,Gujarat,0.309,166.82,0.558,0.934,51.55,0.172,0.289,19.32
cotton,Arunachal Pradesh,0.629,151.86,1.089,1.37,95.52,0.685,0.862,23.22
mango,Tamil Nadu,1.408,145.89,0.971,21.216,205.41,1.367,29.872,27.95
papaya,Dadra and Nagar Haveli and Daman and Diu,5.151,246.39,1.195,38.848,1269.15,6.155,200.106,25.79
orange,Arunachal Pradesh,1.184,176.66,1.17,12.592,209.17,1.385,14.909,23.66
cotton,Chandigarh,0.815,145.77,1.45,1.33,118.8,1.182,1.084,25.81
pomegranate,Odisha,2.43,275.31,1.529,29.631,669.0,3.715,72.003,33.6
grapes,Odisha,0.753,218.17,1.1,19.979,164.28,0.828,15.044,26.57
banana,Meghalaya,1.238,512.51,0.852,57.645,634.49,1.055,71.365,33.2
maize,Andhra Pradesh,0.43,89.33,0.378,3.201,38.41,0.163,1.376,21.57
coconut,Himachal Pradesh,2.206,502.96,1.169,6.666,1109.53,2.579,14.705,31.65
mothbeans,Telangana,0.889,35.62,0.147,0.708,31.67,0.131,0.629,31.75
mango,Delhi,0.724,264.86,0.904,17.563,191.76,0.654,12.716,28.4
mango,Tamil Nadu,0.801,314.84,0.67,9.897,252.19,0.537,7.927,25.85
